[2026-03-30T21:25:16.086075] ACTION: IOT_UPLOAD | CAT: b暹罗_小黑 | ML: 159.2 | RESULT: 达标
[2026-03-30T21:25:16.090111] ACTION: IOT_UPLOAD | CAT: b暹罗_小黑 | ML: 134.9 | RESULT: 达标
[2026-03-30T21:25:16.104034] ACTION: IOT_UPLOAD | CAT: b暹罗_小黑 | ML: 151.6 | RESULT: 达标
[2026-03-30T21:25:16.108350] ACTION: IOT_UPLOAD | CAT: b暹罗_小黑 | ML: 143.9 | RESULT: 达标
[2026-03-30T21:25:16.110708] ACTION: IOT_UPLOAD | CAT: b暹罗_小黑 | ML: 221.7 | RESULT: 超标
[2026-03-30T21:25:16.113258] ACTION: IOT_UPLOAD | CAT: d美短_斑点 | ML: 86.9 | RESULT: 达标
[2026-03-30T21:25:16.115738] ACTION: IOT_UPLOAD | CAT: d美短_斑点 | ML: 100.7 | RESULT: 达标
[2026-03-30T21:25:16.118988] ACTION: IOT_UPLOAD | CAT: d美短_斑点 | ML: 49.9 | RESULT: 未达标
[2026-03-30T21:25:16.120483] ACTION: IOT_UPLOAD | CAT: d美短_斑点 | ML: 103.6 | RESULT: 达标
[2026-03-30T21:25:16.124401] ACTION: IOT_UPLOAD | CAT: d美短_斑点 | ML: 101.2 | RESULT: 达标
[2026-03-30T21:25:16.126140] ACTION: IOT_UPLOAD | CAT: b暹罗_小黑 | ML: 227.0 | RESULT: 超标
[2026-03-30T21:25:16.129104] ACTION: IOT_UPLOAD | CAT: b暹罗_小黑 | ML: 239.7 | RESULT: 超标
[2026-03-30T21:25:16.140777] ACTION: IOT_UPLOAD | CAT: b暹罗_小黑 | ML: 148.6 | RESULT: 达标
[2026-03-30T21:25:16.143348] ACTION: IOT_UPLOAD | CAT: b暹罗_小黑 | ML: 143.0 | RESULT: 达标
[2026-03-30T21:25:16.144908] ACTION: IOT_UPLOAD | CAT: b暹罗_小黑 | ML: 148.9 | RESULT: 达标
[2026-03-30T21:25:36.907390] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 289.5 | RESULT: 达标
[2026-03-30T21:25:38.469171] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 295.9 | RESULT: 达标
[2026-03-30T21:25:40.020428] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 279.2 | RESULT: 达标
[2026-03-30T21:25:41.581214] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 306.2 | RESULT: 达标
[2026-03-30T21:25:43.134055] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 279.4 | RESULT: 达标
[2026-03-30T21:28:08.447589] ACTION: IOT_UPLOAD | CAT: d美短_斑点 | ML: 89.4 | RESULT: 达标
[2026-03-30T21:28:09.995353] ACTION: IOT_UPLOAD | CAT: d美短_斑点 | ML: 98.2 | RESULT: 达标
[2026-03-30T21:28:11.545737] ACTION: IOT_UPLOAD | CAT: d美短_斑点 | ML: 106.7 | RESULT: 达标
[2026-03-30T21:28:13.097452] ACTION: IOT_UPLOAD | CAT: d美短_斑点 | ML: 109.3 | RESULT: 达标
[2026-03-30T21:28:14.643398] ACTION: IOT_UPLOAD | CAT: d美短_斑点 | ML: 105.2 | RESULT: 达标
[2026-03-30T21:35:13.449384] ACTION: IOT_UPLOAD | CAT: d美短_斑点 | ML: 99.5 | RESULT: 达标
[2026-03-30T21:35:14.999850] ACTION: IOT_UPLOAD | CAT: d美短_斑点 | ML: 88.8 | RESULT: 达标
[2026-03-30T21:35:16.553048] ACTION: IOT_UPLOAD | CAT: d美短_斑点 | ML: 100.1 | RESULT: 达标
[2026-03-30T21:35:18.104240] ACTION: IOT_UPLOAD | CAT: d美短_斑点 | ML: 96.5 | RESULT: 达标
[2026-03-30T21:35:19.665087] ACTION: IOT_UPLOAD | CAT: d美短_斑点 | ML: 100.6 | RESULT: 达标
[2026-03-30T21:51:20.562688] ACTION: IOT_UPLOAD | CAT: c缅因_大壮 | ML: 203.6 | RESULT: 达标
[2026-03-30T21:51:22.133501] ACTION: IOT_UPLOAD | CAT: c缅因_大壮 | ML: 193.7 | RESULT: 达标
[2026-03-30T21:51:23.693624] ACTION: IOT_UPLOAD | CAT: c缅因_大壮 | ML: 208.5 | RESULT: 达标
[2026-03-30T21:51:25.247056] ACTION: IOT_UPLOAD | CAT: c缅因_大壮 | ML: 195.6 | RESULT: 达标
[2026-03-30T21:51:26.794387] ACTION: IOT_UPLOAD | CAT: c缅因_大壮 | ML: 182.0 | RESULT: 达标
[2026-04-06T00:21:19.068061] ACTION: IOT_UPLOAD | CAT: c缅因_大壮 | ML: 91.1 | RESULT: 未达标
[2026-04-06T00:21:20.626921] ACTION: IOT_UPLOAD | CAT: c缅因_大壮 | ML: 193.8 | RESULT: 达标
[2026-04-06T00:21:22.198673] ACTION: IOT_UPLOAD | CAT: c缅因_大壮 | ML: 194.3 | RESULT: 达标
[2026-04-06T00:21:23.769337] ACTION: IOT_UPLOAD | CAT: c缅因_大壮 | ML: 198.5 | RESULT: 达标
[2026-04-06T00:21:25.322175] ACTION: IOT_UPLOAD | CAT: c缅因_大壮 | ML: 191.5 | RESULT: 达标
[2026-04-06T00:58:56.980882] ACTION: IOT_UPLOAD | CAT: b暹罗_小黑 | ML: 155.3 | RESULT: 达标
[2026-04-06T00:58:58.527409] ACTION: IOT_UPLOAD | CAT: b暹罗_小黑 | ML: 139.5 | RESULT: 达标
[2026-04-06T00:59:00.083009] ACTION: IOT_UPLOAD | CAT: b暹罗_小黑 | ML: 150.1 | RESULT: 达标
[2026-04-06T00:59:01.629270] ACTION: IOT_UPLOAD | CAT: b暹罗_小黑 | ML: 148.8 | RESULT: 达标
[2026-04-06T00:59:03.171178] ACTION: IOT_UPLOAD | CAT: b暹罗_小黑 | ML: 143.1 | RESULT: 达标
[2026-04-06T01:01:09.216884] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 419.9 | RESULT: 超标
[2026-04-06T01:01:09.261838] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 306.6 | RESULT: 达标
[2026-04-06T01:01:09.302756] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 260.0 | RESULT: 达标
[2026-04-06T01:01:09.345872] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 457.4 | RESULT: 超标
[2026-04-06T01:01:09.390316] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 276.8 | RESULT: 达标
[2026-04-06T01:01:09.434329] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 285.5 | RESULT: 达标
[2026-04-06T01:01:09.476173] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 373.0 | RESULT: 超标
[2026-04-06T01:01:09.519227] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 306.2 | RESULT: 达标
[2026-04-06T01:01:09.559753] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 286.0 | RESULT: 达标
[2026-04-06T01:01:09.603982] ACTION: IOT_UPLOAD | CAT: a布偶_小白 | ML: 306.0 | RESULT: 达标
